Title,Link,Relevant,Year,Venue,Judge,Judge type,Mentioned validation,Metric,Metric type,notes,"Double check human validation (human, judge, annotat)"
on the calibration of large language models and alignment',https://aclanthology.org/2023.findings-emnlp.654/,N,2023,EMNLP findings,,,,,,,
aligning predictive uncertainty with clarification questions in grounded dialog',https://aclanthology.org/2023.findings-emnlp.999/,N,2023,EMNLP findings,,,,,,,
unleashing the multilingual encoder potential : boosting zero-shot performance via probability calibration',https://aclanthology.org/2023.findings-emnlp.1056/,N,2023,EMNLP findings,,,,,,classification,
prism : enhancing low-resource document-level relation extraction with relation-aware score calibration',https://aclanthology.org/2023.findings-ijcnlp.4.pdf,N,2023,IJCNLP-AACL findings,,,,,,,
"why llms hallucinate , and how to get ( evidential ) closure : perceptual , intensional , and extensional learning for faithful natural language generation'",https://aclanthology.org/2023.emnlp-main.192/,N,2023,EMNLP ,,,,,,,
uncertainty guided global memory improves multi-hop question answering',https://aclanthology.org/2023.emnlp-main.262/,N,2023,EMNLP ,,,,,,,
just ask for calibration : strategies for eliciting calibrated confidence scores from language models fine-tuned with human feedback',https://aclanthology.org/2023.emnlp-main.330/,Y,2023,EMNLP ,"LLM as judge (GPT4, 3.5), human validation","LLM judge, HumanVal",,"AUC, ECE, Brier Score","AURAC, ECE, Brier",,Y
a diachronic perspective on user trust in ai under uncertainty',https://aclanthology.org/2023.emnlp-main.339/,N,2023,EMNLP ,,,,,,,
lm-polygraph : uncertainty estimation for language models',https://aclanthology.org/2023.emnlp-demo.41/,Y,2023,EMNLP Demo,"Rouge-L, BERTScore","Overlap based, Semantic similarity",,Prediction Rejection Ratio (PRR),PRR,,N
realistic conversational question answering with answer selection based on calibrated confidence and uncertainty measurement',https://aclanthology.org/2023.eacl-main.35/,N,2023,EACL,,,,,,classification,
a close look into the calibration of pre-trained language models',https://aclanthology.org/2023.acl-long.75/,N,2023,ACL,,,,,,classification,
on the evaluation of neural selective prediction methods for natural language processing',https://aclanthology.org/2023.acl-long.437/,N,2023,ACL,,,,,,classification,
 'hybrid uncertainty quantification for selective text classification in ambiguous tasks',https://aclanthology.org/2023.acl-long.652/,N,2023,ACL,,,,,,classification,
ethicist : targeted training data extraction through loss smoothed soft prompting and calibrated confidence estimation',https://aclanthology.org/2023.acl-long.709/,N,2023,ACL,,,,,,,
uncertainty estimation and reduction of pre-trained models for text regression',https://aclanthology.org/2022.tacl-1.39/,N,2022,TACL,,,,,,classification,
"""reducing conversational agents ' overconfidence through linguistic calibration""",https://aclanthology.org/2022.tacl-1.50/,Y,2022,TACL,"Human labels, Match based, Bert based trained classifier","Human, Exact/fuzzy matching, Semantic similarity",,"ECE, MCE, NLL","ECE, NLL",,NA
disentangling confidence score distribution for out-of-domain intent detection with energy-based learning',https://aclanthology.org/2022.seretod-1.5/,N,2022,SERETOD,,,,,,classification,
masked language models directly encode linguistic uncertainty',https://aclanthology.org/2022.scil-1.22.pdf,N,2022,SCIL,,,,,,,
towards improving selective prediction ability of nlp systems',https://aclanthology.org/2022.repl4nlp-1.23/,N,2022,REPL4NLP,,,,,,classification,
conditional language models for community-level linguistic variation',https://aclanthology.org/2022.nlpcss-1.9/,N,2022,NLPCSS,,,,,,,
measuring uncertainty in translation quality evaluation ( tqe )',https://aclanthology.org/2022.lrec-1.156/,N,2022,LREC,,,,,,,
on isotropy calibration of transformer models',https://aclanthology.org/2022.insights-1.1/,N,2022,INSIGHTS,,,,,,,
answer uncertainty and unanswerability in multiple-choice machine reading comprehension',https://aclanthology.org/2022.findings-acl.82/,N,2022,ACL findings,,,,,,classification,
calibration of machine reading systems at scale',https://aclanthology.org/2022.findings-acl.133/,Y,2022,ACL findings,Unidentifiable,Unidentifiable,,"ECE, AURC, AURCC","ECE, AURAC",,N
"investigating selective prediction approaches across several tasks in iid , ood , and adversarial settings'",https://aclanthology.org/2022.findings-acl.158/,N - Check again,2022,ACL findings,,,,area under Risk-Coverage curve,,classification ,
exploring predictive uncertainty and calibration in nlp : a study on the impact of method \\ & data scarcity',https://aclanthology.org/2022.findings-emnlp.198/,N,2022,EMNLP findings,,,,,,classification ,
re-examining calibration : the case of question answering',https://aclanthology.org/2022.findings-emnlp.204/,Y,2022,EMNLP findings,Exact match,Exact/fuzzy matching,,"ECE, MacroCE",ECE,,N
lpc : a logits and parameter calibration framework for continual learning',https://aclanthology.org/2022.findings-emnlp.529/,N,2022,EMNLP findings,,,,,,,
uncertainty quantification with pre-trained language models : a large-scale empirical analysis',https://aclanthology.org/2022.findings-emnlp.538/,N,2022,EMNLP findings,,,,,,classification,
tracing semantic variation in slang',https://aclanthology.org/2022.emnlp-main.84/,N,2022,EMNLP,,,,,,,
calibration meets explanation : a simple and effective approach for model confidence estimates',https://aclanthology.org/2022.emnlp-main.178/,N,2022,EMNLP,,,,,,classification,
addmu : detection of far-boundary adversarial examples with data and model uncertainty estimation',https://aclanthology.org/2022.emnlp-main.440/,N,2022,EMNLP,,,,,,classification,
disentangling uncertainty in machine translation evaluation',https://aclanthology.org/2022.emnlp-main.591/,N,2022,EMNLP,COMET,,,"predictive Pearson score, uncertainty Pearson score, NLL, ECE","correlation, NLL, ECE",,
cml : a contrastive meta learning method to estimate human label confidence scores and reduce data collection cost',https://aclanthology.org/2022.ecnlp-1.5/,N,2022,ECNLP,,,,,,,
distribution calibration for out-of-domain detection with bayesian approximation',https://aclanthology.org/2022.coling-1.50/,N,2022,COLING,,,,,,,
answer-level calibration for free-form multiple choice question answering',https://aclanthology.org/2022.acl-long.49/,N,2022,ACL,,,,,,,
learning confidence for transformer-based neural machine translation',https://aclanthology.org/2022.acl-long.167/,Y,2022,ACL,Human labels (no automated judge),Human,,"Pearson’s correlation, AUROC, AUPR","correlation, AUROC, AUCPR",,NA
uncertainty estimation of transformer predictions for misclassification detection',https://aclanthology.org/2022.acl-long.566/,N,2022,ACL,,,,,,classification,
uncertainty determines the adequacy of the mode and the tractability of decoding in sequence-to-sequence models',https://aclanthology.org/2022.acl-long.591/,N,2022,ACL,,,,,,,
measuring and improving model-moderator collaboration using uncertainty estimation',https://aclanthology.org/2021.woah-1.5/,N,2021,WOAH,,,,,,classification,
how can we know when language models know ? on the calibration of language models for question answering',https://aclanthology.org/2021.tacl-1.57/,N,2021,TACL,,,,,,classification,
knowing more about questions can help : improving calibration in question answering',https://aclanthology.org/2021.findings-acl.172.pdf,Y,2021,ACL-IJCNLP,exact match,Exact/fuzzy matching,,"AUROC, Cov@Acc","AUROC, Cov@Acc",,N
uncertainty aware review hallucination for science article classification',https://aclanthology.org/2021.findings-acl.443.pdf,N,2021,ACL-IJCNLP,,,,,,classification,
multi-task dense retrieval via model uncertainty fusion for open-domain question answering',https://aclanthology.org/2021.findings-emnlp.26/,N,2021,EMNLP findings,,,,,,,
on the effects of transformer size on in- and out-of-domain calibration',https://aclanthology.org/2021.findings-emnlp.180/,N,2021,EMNLP findings,,,,,,classification,
beyond glass-box features : uncertainty quantification enhanced quality estimation for neural machine translation',https://aclanthology.org/2021.findings-emnlp.401/,N,2021,EMNLP findings,,,,,,,
on hallucination and predictive uncertainty in conditional language generation',https://aclanthology.org/2021.eacl-main.236/,Y,2021,EACL,"exact matching (i.e. synonyms for all possible MSCOCO objects), BLEU, human validation","Exact/fuzzy matching, Overlap based, HumanVal",,Risk - performance curves,AURAC,,Y
the art of abstention : selective prediction and error regularization for natural language processing',https://aclanthology.org/2021.acl-long.84/,N,2021,ACL,,,,,,classification,
attention calibration for transformer in neural machine translation',https://aclanthology.org/2021.acl-long.103/,N,2021,ACL,,,,,,,
understanding neural abstractive summarization models via uncertainty',https://aclanthology.org/2020.emnlp-main.508/,N,2020,EMNLP,,,,,,,
on the inference calibration of neural machine translation',https://aclanthology.org/2020.acl-main.278/,Y,2020,ACL,Translation Edit Rate (TER),Overlap based,,ECE,ECE,,N
,,,,,,,,,,,
estimating predictive uncertainty for rumour verification models',https://aclanthology.org/2020.acl-main.623/,N,2020,ACL,,,,,,classification,
preventing critical scoring errors in short answer scoring with confidence estimation',https://aclanthology.org/2020.acl-srw.32/,N,2020,ACL-SRW,,,,,,,
